node_id,x_coord,y_coord,Elevation,zone_id,Parking_Capacity,ParkNode,geometry
20756,-73755385,41956076,0.0,,,,POINT (-73755385.0 41956076.0)
20725,-73755510,41934324,0.0,,,,POINT (-73755510.0 41934324.0)
22063,-73668417,41917105,0.0,,,,POINT (-73668417.0 41917105.0)
22243,-73652624,41951273,0.0,,,,POINT (-73652624.0 41951273.0)
23756,-73532111,41939725,0.0,,,,POINT (-73532111.0 41939725.0)
23983,-73512508,41952762,0.0,,,,POINT (-73512508.0 41952762.0)
37231,-73883957,41938453,0.0,,,,POINT (-73883957.0 41938453.0)
16482,-73894203,41956829,0.0,,,,POINT (-73894203.0 41956829.0)
21142,-73730785,41933916,0.0,,,,POINT (-73730785.0 41933916.0)
20850,-73746197,41958285,0.0,,,,POINT (-73746197.0 41958285.0)
20745,-73755028,41934345,0.0,,,,POINT (-73755028.0 41934345.0)
20787,-73752894,41951683,0.0,,,,POINT (-73752894.0 41951683.0)
37229,-73910177,41936090,0.0,,,,POINT (-73910177.0 41936090.0)
37236,-73882363,41938975,0.0,,,,POINT (-73882363.0 41938975.0)
19035,-73820199,41970305,0.0,,,,POINT (-73820199.0 41970305.0)
19856,-73793973,41906341,0.0,,,,POINT (-73793973.0 41906341.0)
19994,-73789162,41962570,0.0,,,,POINT (-73789162.0 41962570.0)
23404,-73556695,41969782,0.0,,,,POINT (-73556695.0 41969782.0)
24087,-73496543,41922428,0.0,,,,POINT (-73496543.0 41922428.0)
24040,-73506150,41953022,0.0,,,,POINT (-73506150.0 41953022.0)
22460,-73633979,41954636,0.0,,,,POINT (-73633979.0 41954636.0)
22946,-73595042,41941554,0.0,,,,POINT (-73595042.0 41941554.0)
3272,-73855070,41948442,0.0,3272.0,,,POINT (-73855070.0 41948442.0)
16821,-73882674,41936047,0.0,,,,POINT (-73882674.0 41936047.0)
3262,-73541618,41944597,0.0,3262.0,,,POINT (-73541618.0 41944597.0)
23461,-73551341,41915308,0.0,,,,POINT (-73551341.0 41915308.0)
31297,-73496200,41640976,0.0,,,,POINT (-73496200.0 41640976.0)
6001,-73345298,41651313,0.0,,,,POINT (-73345298.0 41651313.0)
31298,-73474003,41588373,0.0,,,,POINT (-73474003.0 41588373.0)
6002,-73301324,41624622,0.0,,,,POINT (-73301324.0 41624622.0)
31292,-73417636,41502069,0.0,,,,POINT (-73417636.0 41502069.0)
6003,-73326043,41590824,0.0,,,,POINT (-73326043.0 41590824.0)
6108,-73366756,41900306,0.0,,,,POINT (-73366756.0 41900306.0)
24096,-73500923,41868518,0.0,,,,POINT (-73500923.0 41868518.0)
6109,-73365599,41878650,0.0,,,,POINT (-73365599.0 41878650.0)
24052,-73505257,41824365,0.0,,,,POINT (-73505257.0 41824365.0)
6110,-73366832,41838285,0.0,,,,POINT (-73366832.0 41838285.0)
23941,-73511273,41753413,0.0,,,,POINT (-73511273.0 41753413.0)
6111,-73354097,41730511,0.0,,,,POINT (-73354097.0 41730511.0)
25224,-73403036,40667647,0.0,,,,POINT (-73403036.0 40667647.0)
25300,-73394502,40668636,0.0,,,,POINT (-73394502.0 40668636.0)
25194,-73405070,40695237,0.0,,,,POINT (-73405070.0 40695237.0)
25272,-73397972,40692414,0.0,,,,POINT (-73397972.0 40692414.0)
25283,-73396981,40720959,0.0,,,,POINT (-73396981.0 40720959.0)
31082,-73403139,40720387,0.0,,,,POINT (-73403139.0 40720387.0)
25254,-73400735,40744949,0.0,,,,POINT (-73400735.0 40744949.0)
25381,-73381175,40749345,0.0,,,,POINT (-73381175.0 40749345.0)
25330,-73391321,40785978,0.0,,,,POINT (-73391321.0 40785978.0)
25225,-73402149,40783648,0.0,,,,POINT (-73402149.0 40783648.0)
25296,-73394972,40786226,0.0,,,,POINT (-73394972.0 40786226.0)
25250,-73400996,40784168,0.0,,,,POINT (-73400996.0 40784168.0)
25237,-73402652,40798225,0.0,,,,POINT (-73402652.0 40798225.0)
25351,-73386264,40810758,0.0,,,,POINT (-73386264.0 40810758.0)
25133,-73409533,40828371,0.0,,,,POINT (-73409533.0 40828371.0)
25297,-73394913,40831164,0.0,,,,POINT (-73394913.0 40831164.0)
25127,-73409925,40853458,0.0,,,,POINT (-73409925.0 40853458.0)
35762,-73397965,40859707,0.0,,,,POINT (-73397965.0 40859707.0)
35759,-73399654,40861574,0.0,,,,POINT (-73399654.0 40861574.0)
25231,-73402740,40864648,0.0,,,,POINT (-73402740.0 40864648.0)
25211,-73403937,40878938,0.0,,,,POINT (-73403937.0 40878938.0)
35757,-73392336,40873588,0.0,,,,POINT (-73392336.0 40873588.0)
25223,-73402852,41102716,0.0,,,,POINT (-73402852.0 41102716.0)
25256,-73399837,41103450,0.0,,,,POINT (-73399837.0 41103450.0)
25240,-73401344,41101407,0.0,,,,POINT (-73401344.0 41101407.0)
25286,-73395489,41101991,0.0,,,,POINT (-73395489.0 41101991.0)
25252,-73400622,41104731,0.0,,,,POINT (-73400622.0 41104731.0)
25265,-73398777,41105358,0.0,,,,POINT (-73398777.0 41105358.0)
25246,-73401168,41105805,0.0,,,,POINT (-73401168.0 41105805.0)
25271,-73398170,41114010,0.0,,,,POINT (-73398170.0 41114010.0)
25151,-73407761,41118669,0.0,,,,POINT (-73407761.0 41118669.0)
25257,-73399814,41118014,0.0,,,,POINT (-73399814.0 41118014.0)
25242,-73401322,41123368,0.0,,,,POINT (-73401322.0 41123368.0)
25280,-73396277,41124729,0.0,,,,POINT (-73396277.0 41124729.0)
25243,-73401051,41134283,0.0,,,,POINT (-73401051.0 41134283.0)
25258,-73399865,41135685,0.0,,,,POINT (-73399865.0 41135685.0)
25038,-73416123,41181554,0.0,,,,POINT (-73416123.0 41181554.0)
25302,-73393658,41175147,0.0,,,,POINT (-73393658.0 41175147.0)
24953,-73420327,41274698,0.0,,,,POINT (-73420327.0 41274698.0)
25284,-73394518,41293215,0.0,,,,POINT (-73394518.0 41293215.0)
25278,-73395376,41294881,0.0,,,,POINT (-73395376.0 41294881.0)
24909,-73424097,41320896,0.0,,,,POINT (-73424097.0 41320896.0)
24981,-73419953,41331531,0.0,,,,POINT (-73419953.0 41331531.0)
25324,-73391304,41332300,0.0,,,,POINT (-73391304.0 41332300.0)
33939,-73401374,41437720,0.0,,,,POINT (-73401374.0 41437720.0)
35194,-73396058,41445595,0.0,,,,POINT (-73396058.0 41445595.0)
25128,-73409996,41466524,0.0,,,,POINT (-73409996.0 41466524.0)
25270,-73398488,41467948,0.0,,,,POINT (-73398488.0 41467948.0)
35849,-73418113,40612264,0.0,,,,POINT (-73418113.0 40612264.0)
25291,-73395577,40618206,0.0,,,,POINT (-73395577.0 40618206.0)
25074,-73414515,40678560,0.0,,,,POINT (-73414515.0 40678560.0)
25262,-73400090,40679843,0.0,,,,POINT (-73400090.0 40679843.0)
25263,-73399332,40679910,0.0,,,,POINT (-73399332.0 40679910.0)
25248,-73401302,40684839,0.0,,,,POINT (-73401302.0 40684839.0)
25234,-73401456,40691311,0.0,,,,POINT (-73401456.0 40691311.0)
25238,-73400929,40691221,0.0,,,,POINT (-73400929.0 40691221.0)
25275,-73397511,40692333,0.0,,,,POINT (-73397511.0 40692333.0)
25241,-73401835,40717336,0.0,,,,POINT (-73401835.0 40717336.0)
25319,-73392776,40715486,0.0,,,,POINT (-73392776.0 40715486.0)
25317,-73392862,40715683,0.0,,,,POINT (-73392862.0 40715683.0)
25244,-73400406,40717285,0.0,,,,POINT (-73400406.0 40717285.0)
25216,-73403758,40778844,0.0,,,,POINT (-73403758.0 40778844.0)
25285,-73395890,40783758,0.0,,,,POINT (-73395890.0 40783758.0)
25249,-73401341,40783195,0.0,,,,POINT (-73401341.0 40783195.0)
25389,-73380262,40808198,0.0,,,,POINT (-73380262.0 40808198.0)
25121,-73407764,40798191,0.0,,,,POINT (-73407764.0 40798191.0)
25227,-73402938,41114103,0.0,,,,POINT (-73402938.0 41114103.0)
25261,-73399243,41114995,0.0,,,,POINT (-73399243.0 41114995.0)
25260,-73399528,41226534,0.0,,,,POINT (-73399528.0 41226534.0)
25213,-73403512,41231879,0.0,,,,POINT (-73403512.0 41231879.0)
25276,-73396876,41351162,0.0,,,,POINT (-73396876.0 41351162.0)
25125,-73410012,41361765,0.0,,,,POINT (-73410012.0 41361765.0)
25160,-73407373,41371237,0.0,,,,POINT (-73407373.0 41371237.0)
25219,-73403152,41371217,0.0,,,,POINT (-73403152.0 41371217.0)
25344,-73389128,41366533,0.0,,,,POINT (-73389128.0 41366533.0)
25259,-73399982,41374685,0.0,,,,POINT (-73399982.0 41374685.0)
25193,-73405477,41374596,0.0,,,,POINT (-73405477.0 41374596.0)
25202,-73403689,41379066,0.0,,,,POINT (-73403689.0 41379066.0)
25308,-73393407,41390353,0.0,,,,POINT (-73393407.0 41390353.0)
35168,-73402788,41416234,0.0,,,,POINT (-73402788.0 41416234.0)
25386,-73380254,41414402,0.0,,,,POINT (-73380254.0 41414402.0)
25222,-73403075,41455177,0.0,,,,POINT (-73403075.0 41455177.0)
25311,-73393901,41456402,0.0,,,,POINT (-73393901.0 41456402.0)
25184,-73405814,41480962,0.0,,,,POINT (-73405814.0 41480962.0)
25267,-73398503,41476756,0.0,,,,POINT (-73398503.0 41476756.0)
25122,-73409955,40797095,0.0,,,,POINT (-73409955.0 40797095.0)
25391,-73380216,40807776,0.0,,,,POINT (-73380216.0 40807776.0)
25239,-73401617,40783464,0.0,,,,POINT (-73401617.0 40783464.0)
25337,-73390768,40785826,0.0,,,,POINT (-73390768.0 40785826.0)
32631,-73388673,40786474,0.0,,,,POINT (-73388673.0 40786474.0)
32547,-73445459,40785533,0.0,,,,POINT (-73445459.0 40785533.0)
32684,-73443145,40784888,0.0,,,,POINT (-73443145.0 40784888.0)
32630,-73388351,40786388,0.0,,,,POINT (-73388351.0 40786388.0)
31081,-73404008,40720064,0.0,,,,POINT (-73404008.0 40720064.0)
25310,-73394223,40721257,0.0,,,,POINT (-73394223.0 40721257.0)
37642,-73404757,41467968,0.0,,,,POINT (-73404757.0 41467968.0)
33605,-73395862,41454350,0.0,,,,POINT (-73395862.0 41454350.0)
35193,-73396467,41445737,0.0,,,,POINT (-73396467.0 41445737.0)
25116,-73401959,41437728,0.0,,,,POINT (-73401959.0 41437728.0)
34391,-73379662,41119497,0.0,,,,POINT (-73379662.0 41119497.0)
34395,-73403400,41109787,0.0,,,,POINT (-73403400.0 41109787.0)
34400,-73403322,41109610,0.0,,,,POINT (-73403322.0 41109610.0)
34394,-73379903,41119144,0.0,,,,POINT (-73379903.0 41119144.0)
34934,-73379567,41163989,0.0,,,,POINT (-73379567.0 41163989.0)
34514,-73423205,41143160,0.0,,,,POINT (-73423205.0 41143160.0)
34516,-73423101,41143050,0.0,,,,POINT (-73423101.0 41143050.0)
25404,-73376242,41163828,0.0,,,,POINT (-73376242.0 41163828.0)
34667,-73355553,41424830,0.0,,,,POINT (-73355553.0 41424830.0)
34672,-73402776,41417327,0.0,,,,POINT (-73402776.0 41417327.0)
34674,-73405380,41415761,0.0,,,,POINT (-73405380.0 41415761.0)
34669,-73358659,41423423,0.0,,,,POINT (-73358659.0 41423423.0)
33940,-73395410,41454363,0.0,,,,POINT (-73395410.0 41454363.0)
37641,-73404785,41468712,0.0,,,,POINT (-73404785.0 41468712.0)
35730,-73409190,40890592,0.0,,,,POINT (-73409190.0 40890592.0)
35731,-73389796,40899988,0.0,,,,POINT (-73389796.0 40899988.0)
25183,-73406389,40879066,0.0,,,,POINT (-73406389.0 40879066.0)
25392,-73379515,40884921,0.0,,,,POINT (-73379515.0 40884921.0)
25387,-73380253,40868255,0.0,,,,POINT (-73380253.0 40868255.0)
35767,-73407202,40848799,0.0,,,,POINT (-73407202.0 40848799.0)
25327,-73392301,40855374,0.0,,,,POINT (-73392301.0 40855374.0)
35771,-73400777,40848465,0.0,,,,POINT (-73400777.0 40848465.0)
25400,-73377674,40846005,0.0,,,,POINT (-73377674.0 40846005.0)
25305,-73393778,40835296,0.0,,,,POINT (-73393778.0 40835296.0)
25168,-73406982,40846043,0.0,,,,POINT (-73406982.0 40846043.0)
